CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,35.19807886,137.0112822,0,2000/1/1 9:00:00,2000/1/1 17:00:00,0
156,35.1968538,136.9608624,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
157,35.19665415,136.9598349,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
158,35.19585887,136.9594953,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
159,35.19576449,136.9598317,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
160,35.19558762,136.9589659,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
161,35.19547155,136.9595865,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
162,35.19658909,136.9613126,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
163,35.19491828,136.961533,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
168,35.19436279,136.9619453,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
169,35.19477615,136.9618151,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
170,35.19474143,136.9615623,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
175,35.19497796,136.9621308,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
164,35.19715341,136.9674113,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
165,35.19428045,136.9664957,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
31,35.19587007,136.9735479,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
176,35.19395687,136.9558228,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
177,35.19432247,136.9545609,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
178,35.19490613,136.9530159,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
312,35.19690345,136.9943512,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
